epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,17201.3,0.87138,1.22839,0.63066,1.03641,0.91594,0.50374,0.58792,0.46249,0.9136,0.5024,0.58845,0.46874,0.8544,1.25898,0.51073,1.06738,0.000636762,0.000636762,0.000636762
30,17761.7,0.85177,1.1952,0.59785,1.04184,0.86697,0.50188,0.5712,0.44727,0.86697,0.50188,0.57129,0.44534,0.87206,1.34346,0.55961,1.07845,0.000608468,0.000608468,0.000608468
31,18320.6,0.85781,1.17685,0.58309,1.03045,0.91085,0.51293,0.58095,0.45985,0.91306,0.51435,0.58203,0.46234,0.84792,1.3103,0.51083,1.05509,0.000580174,0.000580174,0.000580174
32,18879.5,0.83128,1.15405,0.55757,1.02328,0.93716,0.49549,0.57092,0.45165,0.93716,0.49549,0.57098,0.45301,0.86515,1.27109,0.52339,1.06892,0.00055188,0.00055188,0.00055188
33,19438.5,0.83446,1.14887,0.55248,1.00779,0.94769,0.49713,0.58966,0.46548,0.94785,0.49721,0.58899,0.46442,0.8804,1.29918,0.48378,1.09659,0.000523586,0.000523586,0.000523586
34,19999.3,0.8354,1.17532,0.55353,1.02137,0.94423,0.50812,0.59404,0.46981,0.94261,0.50673,0.59142,0.47354,0.85603,1.29877,0.46479,1.08301,0.000495291,0.000495291,0.000495291
35,20558.3,0.81197,1.15594,0.56428,1.02054,0.92117,0.51437,0.60085,0.48148,0.92404,0.50975,0.59906,0.47744,0.8516,1.24985,0.46107,1.08153,0.000466997,0.000466997,0.000466997
36,21133.9,0.79939,1.14422,0.5207,1.00146,0.92533,0.51207,0.59352,0.46585,0.92537,0.51214,0.59199,0.47077,0.87502,1.25286,0.47594,1.07074,0.000438703,0.000438703,0.000438703
37,21723.5,0.79546,1.12164,0.52299,1.01434,0.96585,0.50728,0.57557,0.45773,0.96386,0.50539,0.57561,0.45717,0.8185,1.25758,0.44713,1.04517,0.000410409,0.000410409,0.000410409
38,22290.7,0.79192,1.13059,0.52401,0.99723,0.93365,0.51645,0.59777,0.47661,0.93812,0.51512,0.59626,0.47673,0.83758,1.27462,0.45067,1.05319,0.000382115,0.000382115,0.000382115
39,22852.3,0.79414,1.12666,0.51035,1.00067,0.9247,0.51184,0.59825,0.47985,0.92463,0.51192,0.59765,0.4841,0.80041,1.24647,0.45435,1.03504,0.00035382,0.00035382,0.00035382
40,23411.1,0.78692,1.12034,0.50262,0.99762,0.95518,0.51372,0.61643,0.49168,0.96135,0.51504,0.61703,0.49322,0.84116,1.24612,0.43622,1.06138,0.000325526,0.000325526,0.000325526
41,23964.8,0.68686,1.00482,0.39832,0.94692,0.91841,0.52243,0.61663,0.49229,0.91841,0.52243,0.61663,0.49329,0.84037,1.25763,0.44785,1.07538,0.000297232,0.000297232,0.000297232
42,24517.9,0.67238,0.98792,0.3802,0.94165,0.94959,0.50881,0.59999,0.48549,0.9496,0.50888,0.59941,0.47983,0.82446,1.23775,0.44729,1.04633,0.000268938,0.000268938,0.000268938
43,25078.6,0.65976,0.96535,0.35919,0.92951,0.93746,0.51638,0.61468,0.49133,0.93747,0.51645,0.61483,0.49211,0.81061,1.26844,0.45199,1.0329,0.000240644,0.000240644,0.000240644
44,25651.4,0.64902,0.94558,0.35632,0.93319,0.94242,0.50889,0.60076,0.48168,0.94309,0.50645,0.59882,0.48293,0.80591,1.25307,0.44031,1.02593,0.000212349,0.000212349,0.000212349
45,26206,0.63712,0.94163,0.34942,0.92326,0.92147,0.51615,0.63029,0.50805,0.91906,0.51481,0.63089,0.50886,0.80272,1.24025,0.43906,1.02961,0.000184055,0.000184055,0.000184055
46,26757.3,0.61994,0.92668,0.34719,0.92098,0.92513,0.52009,0.62338,0.50829,0.9287,0.51557,0.62157,0.50477,0.79567,1.27008,0.43372,1.02552,0.000155761,0.000155761,0.000155761
47,27307.9,0.61359,0.91617,0.32827,0.90305,0.94119,0.51146,0.61502,0.49908,0.94104,0.51154,0.61711,0.50011,0.78962,1.25366,0.43362,1.01956,0.000127467,0.000127467,0.000127467
48,27853.1,0.6014,0.91562,0.31989,0.90464,0.94417,0.51231,0.62636,0.5107,0.94624,0.51359,0.62791,0.50836,0.80025,1.25147,0.42175,1.01785,9.91726e-05,9.91726e-05,9.91726e-05
49,28453.5,0.60547,0.90752,0.31802,0.89752,0.9236,0.52064,0.62906,0.51658,0.9261,0.52196,0.6303,0.51094,0.78316,1.24951,0.41624,1.01493,7.08784e-05,7.08784e-05,7.08784e-05
50,29026.5,0.59745,0.91071,0.3155,0.89658,0.92628,0.52337,0.63319,0.52078,0.92628,0.52337,0.63354,0.5155,0.78489,1.23999,0.41439,1.01825,4.25842e-05,4.25842e-05,4.25842e-05
